title,link,description,{http://purl.org/rss/1.0/modules/content/}encoded,pubDate,guid,ID
b'Hot Chip Challenge',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97579',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/a92e3b0f-aa01-46fc-8ed1-d997fb084786/Produktabbildung.png"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nHot Chip Challenge<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nIn Verkehr gebracht durch:\nBazaar Import & Export\nSch\xc3\xbctzenstr. 1\n35398 Gie\xc3\x9fen<br/>\n<b>Grund der Warnung:</b>\nEs wurden stark schwankende und teilweise extrem hohe Gehalte an Capsaicin festgestellt.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Berlin, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen-Anhalt, Th\xc3\xbcringen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/a92e3b0f-aa01-46fc-8ed1-d997fb084786/Produktabbildung.png"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nHot Chip Challenge<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nIn Verkehr gebracht durch:\nBazaar Import & Export\nSch\xc3\xbctzenstr. 1\n35398 Gie\xc3\x9fen<br/>\n<b>Grund der Warnung:</b>\nEs wurden stark schwankende und teilweise extrem hohe Gehalte an Capsaicin festgestellt.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Berlin, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen-Anhalt, Th\xc3\xbcringen<br/>\n'","b'Fri, 03 Nov 2023 16:05:49 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97579',0
b'Hot Chip Challenge',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97526',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/3281a3f1-3cf3-499a-a2e5-2624b34fcc96/Bild.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nHot Chip Challenge<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nIn Verkehr gebracht durch:\nALL - Z\nArthur von Weinberg Str. 10\n60438 Frankfurt<br/>\n<b>Grund der Warnung:</b>\nEs wurden stark schwankende und teilweise extrem hohe Gehalte an Capsaicin festgestellt.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Bremen, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Schleswig-Holstein<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/3281a3f1-3cf3-499a-a2e5-2624b34fcc96/Bild.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nHot Chip Challenge<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nIn Verkehr gebracht durch:\nALL - Z\nArthur von Weinberg Str. 10\n60438 Frankfurt<br/>\n<b>Grund der Warnung:</b>\nEs wurden stark schwankende und teilweise extrem hohe Gehalte an Capsaicin festgestellt.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Bremen, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Schleswig-Holstein<br/>\n'","b'Fri, 03 Nov 2023 15:06:55 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97526',1
b'Hirschsalami',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97433',"b'<b>Produktbezeichnung:</b>\nHirschsalami<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\n\xe2\x80\x9eWurzener Wildspezialit\xc3\xa4ten\xe2\x80\x9c Rauchhaupt GmbH  Altenbach<br/>\n<b>Grund der Warnung:</b>\nKontamination mit VTEC Bakterien<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Niedersachsen, Sachsen<br/>\n'","b'<b>Produktbezeichnung:</b>\nHirschsalami<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\n\xe2\x80\x9eWurzener Wildspezialit\xc3\xa4ten\xe2\x80\x9c Rauchhaupt GmbH  Altenbach<br/>\n<b>Grund der Warnung:</b>\nKontamination mit VTEC Bakterien<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Niedersachsen, Sachsen<br/>\n'","b'Fri, 03 Nov 2023 13:49:28 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97433',2
b'Kinder-Flip-Flops orange und rosa',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/bedarfsgegenstaende/97439',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/2f8dcc95-3af0-4d95-90ef-58e5f76561d5/Foto_Kids-Slippers.JPG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nKinder-Flip-Flops orange und rosa<br/>\n<b>Typ:</b>\nBedarfsgegenst\xc3\xa4nde<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nZEEMAN textielSupers GmbH\nSiemensstrasse 31\n47533 Kleve<br/>\n<b>Grund der Warnung:</b>\nDie orange- und rosafarbenen Kinder-Flip-Flops enthalten eine zu hohe Konzentration Weichmacher, f\xc3\xbcr die eine gesetzliche Obergrenze gilt.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Berlin, Bremen, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/2f8dcc95-3af0-4d95-90ef-58e5f76561d5/Foto_Kids-Slippers.JPG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nKinder-Flip-Flops orange und rosa<br/>\n<b>Typ:</b>\nBedarfsgegenst\xc3\xa4nde<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nZEEMAN textielSupers GmbH\nSiemensstrasse 31\n47533 Kleve<br/>\n<b>Grund der Warnung:</b>\nDie orange- und rosafarbenen Kinder-Flip-Flops enthalten eine zu hohe Konzentration Weichmacher, f\xc3\xbcr die eine gesetzliche Obergrenze gilt.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Berlin, Bremen, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt<br/>\n'","b'Fri, 03 Nov 2023 11:32:19 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/bedarfsgegenstaende/97439',3
"b'nur puur Brechbohnen, 340g'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97514',"b'<b>Produktbezeichnung:</b>\nnur puur Brechbohnen, 340g<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nnur puur bio GmbH\nEmpeler Str. 87\n46459 Rees<br/>\n<b>Grund der Warnung:</b>\nGlasbruch<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'<b>Produktbezeichnung:</b>\nnur puur Brechbohnen, 340g<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nnur puur bio GmbH\nEmpeler Str. 87\n46459 Rees<br/>\n<b>Grund der Warnung:</b>\nGlasbruch<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'Fri, 03 Nov 2023 07:52:00 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97514',4
"b'funny-frisch goldfischli Original, 100g'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97448',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/62debdb8-5a50-44dd-b99f-4156892f44fe/goldfischli.JPG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nfunny-frisch goldfischli Original, 100g<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nIntersnack Deutschland SE\nErna-Scheffler-Stra\xc3\x9fe 3\n51103 K\xc3\xb6ln<br/>\n<b>Grund der Warnung:</b>\nIn wenigen Packungen des vom Markt genommenen Produktes wurden irrt\xc3\xbcmlich zus\xc3\xa4tzlich zum eigentlichen Produkt Cracker abgef\xc3\xbcllt, die Milch enthalten. Diese Zutat ist nicht auf der Verpackung deklariert.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/62debdb8-5a50-44dd-b99f-4156892f44fe/goldfischli.JPG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nfunny-frisch goldfischli Original, 100g<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nIntersnack Deutschland SE\nErna-Scheffler-Stra\xc3\x9fe 3\n51103 K\xc3\xb6ln<br/>\n<b>Grund der Warnung:</b>\nIn wenigen Packungen des vom Markt genommenen Produktes wurden irrt\xc3\xbcmlich zus\xc3\xa4tzlich zum eigentlichen Produkt Cracker abgef\xc3\xbcllt, die Milch enthalten. Diese Zutat ist nicht auf der Verpackung deklariert.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland<br/>\n'","b'Thu, 02 Nov 2023 15:17:21 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97448',5
b'Erbsen mit knuspriger Wasabih\xc3\xbclle',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97453',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/53773432-4665-4575-b7c8-781c855c1731/picture.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nErbsen mit knuspriger Wasabih\xc3\xbclle<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nHeuschen & Schrouff OFT BV<br/>\n<b>Grund der Warnung:</b>\nNicht gekennzeichnetes Allergen Erdnuss.\nIm Produkt k\xc3\xb6nnten entegegen der Kennzeichnung anstelle von Erbsen in Wasabih\xc3\xbclle Erdn\xc3\xbcsse in Wasabih\xc3\xbclle enthalten sein.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Bremen, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/53773432-4665-4575-b7c8-781c855c1731/picture.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nErbsen mit knuspriger Wasabih\xc3\xbclle<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nHeuschen & Schrouff OFT BV<br/>\n<b>Grund der Warnung:</b>\nNicht gekennzeichnetes Allergen Erdnuss.\nIm Produkt k\xc3\xb6nnten entegegen der Kennzeichnung anstelle von Erbsen in Wasabih\xc3\xbclle Erdn\xc3\xbcsse in Wasabih\xc3\xbclle enthalten sein.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Bremen, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'Thu, 02 Nov 2023 15:09:14 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97453',6
"b'Gelbwurst, Stange, 140 g und 800 g'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97420',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/6eea68ee-44b9-4c23-94d3-4bff0fe754de/Produktbild1.png"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nGelbwurst, Stange, 140 g und 800 g<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nChiemgauer Naturfleisch GmbH<br/>\n<b>Grund der Warnung:</b>\nMetallst\xc3\xbcck<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Schleswig-Holstein<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/6eea68ee-44b9-4c23-94d3-4bff0fe754de/Produktbild1.png"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nGelbwurst, Stange, 140 g und 800 g<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nChiemgauer Naturfleisch GmbH<br/>\n<b>Grund der Warnung:</b>\nMetallst\xc3\xbcck<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Schleswig-Holstein<br/>\n'","b'Thu, 02 Nov 2023 12:49:58 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97420',7
b'Pistazienkerne-Beerenmix + Pistazienkerne ger\xc3\xb6stet & ohne Salz + Pistazienkerne ger\xc3\xb6stet & gesalzen',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97404',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/5be8e1c9-bc85-484a-90c2-7d8a0e99fa2d/Pistazien Foto Aldi S\xc3\xbcd.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nPistazienkerne-Beerenmix + Pistazienkerne ger\xc3\xb6stet & ohne Salz + Pistazienkerne ger\xc3\xb6stet & gesalzen<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nPL Food GmbH \nKesselflickerstr. 10 \n21493 Lanken / Elmenhorst<br/>\n<b>Grund der Warnung:</b>\nSalmonellen<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBayern, Nordrhein-Westfalen, Schleswig-Holstein<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/5be8e1c9-bc85-484a-90c2-7d8a0e99fa2d/Pistazien Foto Aldi S\xc3\xbcd.jpg"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nPistazienkerne-Beerenmix + Pistazienkerne ger\xc3\xb6stet & ohne Salz + Pistazienkerne ger\xc3\xb6stet & gesalzen<br/>\n<b>Typ:</b>\nLebensmittel<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nPL Food GmbH \nKesselflickerstr. 10 \n21493 Lanken / Elmenhorst<br/>\n<b>Grund der Warnung:</b>\nSalmonellen<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBayern, Nordrhein-Westfalen, Schleswig-Holstein<br/>\n'","b'Wed, 01 Nov 2023 15:41:16 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/97404',8
b'Fr\xc3\xbchst\xc3\xbccksteller 20cm',b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/bedarfsgegenstaende/97261',"b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/246caeb3-0ff2-4710-9f84-2f3db6dab719/Fr\xc3\xbchst\xc3\xbccksteller.JPG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nFr\xc3\xbchst\xc3\xbccksteller 20cm<br/>\n<b>Typ:</b>\nBedarfsgegenst\xc3\xa4nde<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nCLICK Affaires\nZI Le Carr\xc3\xa9 des Aviateurs\n157 Avenue Charles Floquet\n93150 Le Blanc Mesnil/Frankreich\n\nVertrieb \xc3\xbcber Action-Filialen<br/>\n<b>Grund der Warnung:</b>\nBei einer Untersuchung des oben genannten Artikels wurde festgestellt, dass er eine \xc3\xbcberm\xc3\xa4\xc3\x9fige Menge an Cadmium enth\xc3\xa4lt.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'<img src=""https://www.lebensmittelwarnung.de/bvl-lmw-de/opensaga/attachment/246caeb3-0ff2-4710-9f84-2f3db6dab719/Fr\xc3\xbchst\xc3\xbccksteller.JPG"" width=""100"" /><br/>\n<b>Produktbezeichnung:</b>\nFr\xc3\xbchst\xc3\xbccksteller 20cm<br/>\n<b>Typ:</b>\nBedarfsgegenst\xc3\xa4nde<br/>\n<b>Hersteller (Inverkehrbringer):</b>\nCLICK Affaires\nZI Le Carr\xc3\xa9 des Aviateurs\n157 Avenue Charles Floquet\n93150 Le Blanc Mesnil/Frankreich\n\nVertrieb \xc3\xbcber Action-Filialen<br/>\n<b>Grund der Warnung:</b>\nBei einer Untersuchung des oben genannten Artikels wurde festgestellt, dass er eine \xc3\xbcberm\xc3\xa4\xc3\x9fige Menge an Cadmium enth\xc3\xa4lt.<br/>\n<b>Betroffene L\xc3\xa4nder:</b>\nBaden-W\xc3\xbcrttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Th\xc3\xbcringen<br/>\n'","b'Tue, 31 Oct 2023 14:33:32 +0000'",b'https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/bedarfsgegenstaende/97261',9
